register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400601930,"Zona de Càrrega i Descàrrega * C Pallars, 205",242906,C Pallars,205,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,,,,,,432970.1792,4583644.386,41.40154719,2.19810621
?75990102664,Aparcament Inorsa,268003,C Provença,107,9,la Nova Esquerra de l'Eixample,2,Eixample,8029,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,429007.921,4582057.792,41.38691723,2.150895616
?99400602720,"Zona de Càrrega i Descàrrega * C Diputació, 40",100800,C Diputació,40,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,BARCELONA,TRUE,,,,,,429062.3087,4581140.041,41.37865617,2.151653495
?75990102826,Aparcament Assistencial Club,268003,C Provença,173,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,429411.212,4582451.341,41.39049728,2.155672834
?99400602726,"Zona de Càrrega i Descàrrega * Av Albert Bastardas, 24",700811,Av Albert Bastardas,24,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,TRUE,,,,,,425354.5986,4581551.023,41.38202229,2.107267265
?99400602731,"Zona de Càrrega i Descàrrega * C Doctor Fleming, 8",101904,C Doctor Fleming,8,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8017,BARCELONA,TRUE,,,,,,427722.4704,4582778.416,41.39329313,2.135436593
?99400602734,"Zona de Càrrega i Descàrrega * C Casteràs, 38",73605,C Casteràs,38,17,Sants - Badal,3,Sants-Montjuïc,8028,BARCELONA,TRUE,,,,,,427176.6771,4580627.892,41.373875,2.129167154
?99400602926,"Zona de Càrrega i Descàrrega * C Sant Antoni Maria Claret, 356",297001,C Sant Antoni Maria Claret,356,64,el Camp de l'Arpa del Clot,10,Sant Martí,8041,BARCELONA,TRUE,,,,,,431566.9545,4585273.823,41.41610479,2.181136459
?99400602933,"Zona de Càrrega i Descàrrega * C Castella, 3",73707,C Castella,3,68,el Poblenou,10,Sant Martí,8018,BARCELONA,TRUE,,,,,,433015.7587,4583996.254,41.40472016,2.198612499
?99400602935,"Zona de Càrrega i Descàrrega * C Guitard, 1",368201,C Guitard,1,18,Sants,3,Sants-Montjuïc,8014,BARCELONA,TRUE,,,,,,428014.0618,4581318.719,41.38017236,2.139097596
?75990217780,Aparcament Palau Nou,34308,la Rambla,88,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,430851.4262,4581496.677,41.38202402,2.173006759
?75990125326,Aparcament Lisor,343903,Trav Corts,373,19,les Corts,4,Les Corts,8029,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,428153.7142,4582445.366,41.39033212,2.14063396
?99400652373,Estació de Bicing 432  *Martí i Franquès,7258,C Martí i Franquès,1,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,TRUE,,,,,,426248.8359,4581883.016,41.38509487,2.117920395
?99400652382,Estació de Bicing 447  *Almogàvers,11200,C Almogàvers,63,5,el Fort Pienc,2,Eixample,8018,BARCELONA,TRUE,,,,,,431951.8862,4582845.782,41.39426886,2.186015051
?99400602535,"Zona de Càrrega i Descàrrega * C Aribau, 142",23403,C Aribau,142,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,,,,,,429361.5025,4582594.641,41.39178357,2.155061598
?99400669738,Jan Cars Barcelona,139805,Carrer de Ganduxer,18,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,Barcelona,TRUE,63735068,Lloguer de vehicles,Planol BCN >> Transports i serveis relacionats >> Serveis relacionats >> Lloguer de vehicles,651,6.5103E+13,428014.3312,4582720.581,41.39279842,2.138934246
