Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2024,10009,3,5,diumenge,5185
2024,10009,4,1,dilluns,8057
2024,10009,4,2,laborables,8438
2024,10009,4,3,divendres,8775
2024,10009,4,4,dissabte,7220
2024,10009,4,5,diumenge,5258
2024,10009,5,1,dilluns,8141
2024,10009,5,2,laborables,8468
2024,10009,5,3,divendres,9076
2024,10009,5,4,dissabte,7133
2024,10009,5,5,diumenge,5477
2024,10009,6,1,dilluns,8276
2024,10009,6,2,laborables,8468
2024,10009,6,3,divendres,9084
2024,10009,6,4,dissabte,7158
2024,10009,6,5,diumenge,5280
2024,10009,7,1,dilluns,7881
2024,10009,7,2,laborables,8099
2024,10009,7,3,divendres,8332
2024,10009,7,4,dissabte,6503
2024,10009,7,5,diumenge,4946
2024,10009,8,1,dilluns,6689
2024,10009,8,2,laborables,6966
2024,10009,8,3,divendres,7098
2024,10009,8,4,dissabte,5609
2024,10009,8,5,diumenge,4428
2024,10009,9,1,dilluns,8299
2024,10009,9,2,laborables,8638
2024,10009,9,3,divendres,9142
2024,10009,9,4,dissabte,7027
2024,10009,9,5,diumenge,5248
2024,10009,10,1,dilluns,8458
2024,10009,10,2,laborables,8702
2024,10009,10,3,divendres,9154
2024,10009,10,4,dissabte,7463
2024,10009,10,5,diumenge,5648
2024,10009,11,1,dilluns,8220
2024,10009,11,2,laborables,8724
2024,10009,11,3,divendres,9271
2024,10009,11,4,dissabte,7629
2024,10009,11,5,diumenge,5595
2024,10009,12,1,dilluns,8643
2024,10009,12,2,laborables,8862
2024,10009,12,3,divendres,8788
2024,10009,12,4,dissabte,7334
2024,10009,12,5,diumenge,5622
2024,1001,1,1,dilluns,30495
2024,1001,1,2,laborables,31682
2024,1001,1,3,divendres,32127
2024,1001,1,4,dissabte,26766
2024,1001,1,5,diumenge,20914
2024,1001,2,1,dilluns,Mesura no disponible
2024,1001,2,2,laborables,Mesura no disponible
2024,1001,2,3,divendres,Mesura no disponible
2024,1001,2,4,dissabte,Mesura no disponible
2024,1001,2,5,diumenge,Mesura no disponible
2024,1001,3,1,dilluns,31644
2024,1001,3,2,laborables,32467
2024,1001,3,3,divendres,34462
2024,1001,3,4,dissabte,24495
2024,1001,3,5,diumenge,20648
2024,1001,4,1,dilluns,32083
2024,1001,4,2,laborables,33729
2024,1001,4,3,divendres,35550
2024,1001,4,4,dissabte,26713
2024,1001,4,5,diumenge,22909
2024,1001,5,1,dilluns,33188
2024,1001,5,2,laborables,34037
2024,1001,5,3,divendres,35354
2024,1001,5,4,dissabte,26405
2024,1001,5,5,diumenge,23158
2024,1001,6,1,dilluns,33194
2024,1001,6,2,laborables,34105
2024,1001,6,3,divendres,35926
2024,1001,6,4,dissabte,24555
2024,1001,6,5,diumenge,22587
2024,1001,7,1,dilluns,34029
2024,1001,7,2,laborables,34914
2024,1001,7,3,divendres,34770
2024,1001,7,4,dissabte,22669
2024,1001,7,5,diumenge,22740
2024,1001,8,1,dilluns,22868
2024,1001,8,2,laborables,21099
2024,1001,8,3,divendres,22556
2024,1001,8,4,dissabte,17130
2024,1001,8,5,diumenge,14493
2024,1001,9,1,dilluns,32525
2024,1001,9,2,laborables,33552
2024,1001,9,3,divendres,32879
2024,1001,9,4,dissabte,25099
2024,1001,9,5,diumenge,21999
2024,1001,10,1,dilluns,33237
2024,1001,10,2,laborables,33188
2024,1001,10,3,divendres,35045
2024,1001,10,4,dissabte,26281
2024,1001,10,5,diumenge,23560
2024,1001,11,1,dilluns,30435
2024,1001,11,2,laborables,33002
2024,1001,11,3,divendres,35329
2024,1001,11,4,dissabte,26823
2024,1001,11,5,diumenge,22044
2024,1001,12,1,dilluns,32065
2024,1001,12,2,laborables,32311
2024,1001,12,3,divendres,33898
2024,1001,12,4,dissabte,26692
2024,1001,12,5,diumenge,22889
2024,10010,1,1,dilluns,Mesura no disponible
2024,10010,1,2,laborables,Mesura no disponible
2024,10010,1,3,divendres,Mesura no disponible
2024,10010,1,4,dissabte,Mesura no disponible
2024,10010,1,5,diumenge,Mesura no disponible
2024,10010,2,1,dilluns,Mesura no disponible
2024,10010,2,2,laborables,Mesura no disponible
2024,10010,2,3,divendres,Mesura no disponible
2024,10010,2,4,dissabte,Mesura no disponible
2024,10010,2,5,diumenge,Mesura no disponible
2024,10010,3,1,dilluns,9326
2024,10010,3,2,laborables,9533
2024,10010,3,3,divendres,10707
2024,10010,3,4,dissabte,7328
2024,10010,3,5,diumenge,5647
2024,10010,4,1,dilluns,10604
2024,10010,4,2,laborables,10904
2024,10010,4,3,divendres,10763
2024,10010,4,4,dissabte,8432
2024,10010,4,5,diumenge,6376
2024,10010,5,1,dilluns,10599
2024,10010,5,2,laborables,10950
2024,10010,5,3,divendres,11124
2024,10010,5,4,dissabte,8166
2024,10010,5,5,diumenge,6424
2024,10010,6,1,dilluns,10634
2024,10010,6,2,laborables,10948
2024,10010,6,3,divendres,10985
2024,10010,6,4,dissabte,8137
2024,10010,6,5,diumenge,6408
2024,10010,7,1,dilluns,10854
2024,10010,7,2,laborables,10761
2024,10010,7,3,divendres,10621
2024,10010,7,4,dissabte,7648
2024,10010,7,5,diumenge,6167
2024,10010,8,1,dilluns,8145
2024,10010,8,2,laborables,8437
2024,10010,8,3,divendres,8691
2024,10010,8,4,dissabte,6561
2024,10010,8,5,diumenge,5372
2024,10010,9,1,dilluns,10555
2024,10010,9,2,laborables,10981
2024,10010,9,3,divendres,11185
2024,10010,9,4,dissabte,7991
2024,10010,9,5,diumenge,6267
2024,10010,10,1,dilluns,10773
2024,10010,10,2,laborables,11041
2024,10010,10,3,divendres,11203
2024,10010,10,4,dissabte,8619
2024,10010,10,5,diumenge,6799
2024,10010,11,1,dilluns,10399
2024,10010,11,2,laborables,10949
2024,10010,11,3,divendres,11377
2024,10010,11,4,dissabte,8845
2024,10010,11,5,diumenge,6772
2024,10010,12,1,dilluns,10710
2024,10010,12,2,laborables,11312
2024,10010,12,3,divendres,11138
2024,10010,12,4,dissabte,8569
2024,10010,12,5,diumenge,6870
2024,10011,1,1,dilluns,2984
2024,10011,1,2,laborables,3068
2024,10011,1,3,divendres,3074
2024,10011,1,4,dissabte,2163
2024,10011,1,5,diumenge,1526
2024,10011,2,1,dilluns,2949
2024,10011,2,2,laborables,3175
2024,10011,2,3,divendres,3259
2024,10011,2,4,dissabte,2181
2024,10011,2,5,diumenge,1518
2024,10011,3,1,dilluns,3027
2024,10011,3,2,laborables,3074
2024,10011,3,3,divendres,3276
2024,10011,3,4,dissabte,2131
2024,10011,3,5,diumenge,1472
2024,10011,4,1,dilluns,3192
2024,10011,4,2,laborables,3123
2024,10011,4,3,divendres,3311
2024,10011,4,4,dissabte,2253
2024,10011,4,5,diumenge,1540
2024,10011,5,1,dilluns,3092
2024,10011,5,2,laborables,3203
2024,10011,5,3,divendres,3374
2024,10011,5,4,dissabte,2289
2024,10011,5,5,diumenge,1636
2024,10011,6,1,dilluns,3119
2024,10011,6,2,laborables,3137
2024,10011,6,3,divendres,3282
2024,10011,6,4,dissabte,2209
2024,10011,6,5,diumenge,1549
2024,10011,7,1,dilluns,2988
2024,10011,7,2,laborables,2998
2024,10011,7,3,divendres,3127
2024,10011,7,4,dissabte,2121
2024,10011,7,5,diumenge,1602
2024,10011,8,1,dilluns,2297
2024,10011,8,2,laborables,2414
2024,10011,8,3,divendres,2487
2024,10011,8,4,dissabte,1923
2024,10011,8,5,diumenge,1378
2024,10011,9,1,dilluns,3185
2024,10011,9,2,laborables,3297
2024,10011,9,3,divendres,3430
2024,10011,9,4,dissabte,2387
2024,10011,9,5,diumenge,1750
2024,10011,10,1,dilluns,3264
2024,10011,10,2,laborables,3363
2024,10011,10,3,divendres,3444
2024,10011,10,4,dissabte,2652
2024,10011,10,5,diumenge,1866
2024,10011,11,1,dilluns,3136
2024,10011,11,2,laborables,3355
2024,10011,11,3,divendres,3467
2024,10011,11,4,dissabte,2618
2024,10011,11,5,diumenge,1812
2024,10011,12,1,dilluns,3316
2024,10011,12,2,laborables,3476
2024,10011,12,3,divendres,3286
2024,10011,12,4,dissabte,2446
2024,10011,12,5,diumenge,1890
2024,10012,1,1,dilluns,4931
2024,10012,1,2,laborables,5177
2024,10012,1,3,divendres,4891
2024,10012,1,4,dissabte,3419
2024,10012,1,5,diumenge,3191
2024,10012,2,1,dilluns,4757
2024,10012,2,2,laborables,4977
2024,10012,2,3,divendres,5323
2024,10012,2,4,dissabte,3593
2024,10012,2,5,diumenge,3025
2024,10012,3,1,dilluns,4843
2024,10012,3,2,laborables,5077
2024,10012,3,3,divendres,5224
2024,10012,3,4,dissabte,3781
2024,10012,3,5,diumenge,2937
2024,10012,4,1,dilluns,5197
2024,10012,4,2,laborables,5243
2024,10012,4,3,divendres,5286
2024,10012,4,4,dissabte,4245
2024,10012,4,5,diumenge,3264
2024,10012,5,1,dilluns,5127
2024,10012,5,2,laborables,5236
2024,10012,5,3,divendres,5557
2024,10012,5,4,dissabte,4017
2024,10012,5,5,diumenge,3240
2024,10012,6,1,dilluns,5075
2024,10012,6,2,laborables,5272
2024,10012,6,3,divendres,5331
2024,10012,6,4,dissabte,3815
2024,10012,6,5,diumenge,3159
2024,10012,7,1,dilluns,5155
2024,10012,7,2,laborables,5097
2024,10012,7,3,divendres,5088
2024,10012,7,4,dissabte,3940
2024,10012,7,5,diumenge,3469
2024,10012,8,1,dilluns,4414
2024,10012,8,2,laborables,4593
2024,10012,8,3,divendres,4475
2024,10012,8,4,dissabte,3904
2024,10012,8,5,diumenge,3108
2024,10012,9,1,dilluns,5064
2024,10012,9,2,laborables,5173
2024,10012,9,3,divendres,5534
2024,10012,9,4,dissabte,3929
2024,10012,9,5,diumenge,3133
2024,10012,10,1,dilluns,5071
2024,10012,10,2,laborables,5260
2024,10012,10,3,divendres,5294
2024,10012,10,4,dissabte,4192
2024,10012,10,5,diumenge,3358
2024,10012,11,1,dilluns,5207
2024,10012,11,2,laborables,5411
2024,10012,11,3,divendres,5702
2024,10012,11,4,dissabte,4317
2024,10012,11,5,diumenge,3294
2024,10012,12,1,dilluns,5324
2024,10012,12,2,laborables,5579
2024,10012,12,3,divendres,5323
2024,10012,12,4,dissabte,4046
2024,10012,12,5,diumenge,3266
2024,10013,1,1,dilluns,3700
2024,10013,1,2,laborables,3770
2024,10013,1,3,divendres,3710
2024,10013,1,4,dissabte,3296
2024,10013,1,5,diumenge,2452
2024,10013,2,1,dilluns,3751
2024,10013,2,2,laborables,3926
2024,10013,2,3,divendres,3716
2024,10013,2,4,dissabte,3106
2024,10013,2,5,diumenge,2403
2024,10013,3,1,dilluns,3621
2024,10013,3,2,laborables,3712
2024,10013,3,3,divendres,3817
