register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400603176,"Parada de taxis * Av Marquès de l'Argentera, 6",198203,Av Marquès de l'Argentera,6,,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431858.0234,4581747.469,41.38436873,2.185015935
?99400603159,"Parada de taxis * Pl Catalunya, 17",74404,Pl Catalunya,17,,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430723.3713,4582040.262,41.38690891,2.171413267
?99400603160,"Parada de taxis * C Cristóbal de Moura, 137",94300,C Cristóbal de Moura,137,,71,Provençals del Poblenou,10,Sant Martí,8019,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,433870.5502,4584866.398,41.4126281,2.208743042
?99400603172,"Parada de taxis * C Berruguete, 126",41201,C Berruguete,126,,41,la Vall d'Hebron,7,Horta-Guinardó,8035,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428764.9643,4587254.002,41.43369592,2.147378307
?99400603173,"Parada de taxis * C Llobregós, 89",185700,C Llobregós,89,,37,el Carmel,7,Horta-Guinardó,8032,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429651.9979,4586316.596,41.42533128,2.158103311
?99400603179,"Parada de taxis * C Enric Granados, 141",110304,C Enric Granados,141,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429270.5843,4582841.397,41.39399802,2.153945381
?99400603031,"Parada de taxis * C Mallorca, 178",191204,C Mallorca,178,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429472.4905,4582294.974,41.38909431,2.156423929
?99400603033,"Parada de taxis * Rbla Badal, 154",30602,Rbla Badal,154,,18,Sants,3,Sants-Montjuïc,8028,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,427366.6863,4580556.071,41.37324531,2.131447668
?99400603038,"Parada de taxis * C Bailèn, 5",31300,C Bailèn,5,,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431252.1281,4582561.136,41.39164563,2.177677747
?99400603039,"Parada de taxis * Rda Sant Pere, 27",309406,Rda Sant Pere,27,,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431029.6463,4582375.154,41.3899515,2.17503799
?99400603049,"Parada de taxis * C Loreto, 17",180900,C Loreto,17,,19,les Corts,4,Les Corts,8029,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428264.1632,4582362.78,41.38959816,2.141964698
?99400603135,"Parada de taxis * Pl Carlos Ibáñez, 3",66600,Pl Carlos Ibáñez,3,,11,el Poble-sec,3,Sants-Montjuïc,8038,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430654.7324,4580275.297,41.37100648,2.170794338
?99400603214,"Parada de taxis * C Rambla, 44",34308,C Rambla,44,,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431001.6068,4581223.93,41.37958037,2.174833743
?99400603215,"Parada de taxis * C Tànger, 162",330107,C Tànger,162,,68,el Poblenou,10,Sant Martí,8018,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,432830.6355,4584044.248,41.40513699,2.196392601
